wid;woj;pop;females
00;Polska;38382.6;19815.5
02;dolnośląskie;2900.2;1505.5
04;kujawsko-pomorskie;2072.4;1068.1
06;lubelskie;2108.3;1086.4
08;lubuskie;1011.6;519.4
10;łódzkie;2454.8;1285.1
12;małopolskie;3410.9;1755.4
14;mazowieckie;5423.2;2828.1
16;opolskie;982.6;507.5
18;podkarpackie;2127.2;1085.3
20;podlaskie;1178.4;604.1
22;pomorskie;2343.9;1202.7
24;śląskie;4517.6;2340.3
26;świętokrzyskie;1234.0;632.3
28;warmińsko-mazurskie;1422.7;726.8
30;wielkopolskie;3498.7;1796.6
32;zachodniopomorskie;1696.2;871.7

